"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
9,32,41,57,58,76,78,86,102,140,171,181,202,208,234,242,317,330,345,398,532
30,33,35,41,53,91,98,98,130,141,178,185,190,196,208,266,271,354,383,395,463
2,6,8,19,24,29,33,41,55,78,107,129,169,185,194,334,349,392,490,557,638
3,7,14,40,42,56,59,90,99,105,129,130,146,157,192,239,252,309,490,621,659
16,28,40,42,44,47,56,61,84,112,146,196,196,227,247,251,290,307,317,449,683
7,10,14,50,56,64,74,78,88,103,111,134,149,158,213,221,227,270,341,719,752
1,3,21,62,72,92,104,110,111,129,156,188,190,220,233,250,261,268,318,396,654
19,34,49,52,64,76,85,94,107,110,131,157,199,236,266,286,312,326,357,383,496
4,40,47,55,59,72,94,109,113,140,163,167,209,222,237,240,244,254,304,487,579
13,46,48,54,59,63,65,68,77,137,141,175,194,236,260,289,290,292,300,334,698
7,14,15,22,28,34,47,98,98,106,149,153,165,243,264,292,294,360,402,515,533
1,15,45,63,65,71,72,76,117,134,149,153,155,169,178,288,350,367,368,372,631
10,12,14,16,17,20,22,25,31,57,154,173,241,272,318,325,368,386,389,418,571
1,10,29,36,36,46,64,69,72,72,79,107,109,112,127,140,184,285,723,751,787
1,1,10,11,18,36,48,65,81,86,86,92,122,186,196,203,318,358,444,679,798
19,21,21,24,33,57,73,92,94,98,106,114,152,152,198,311,323,372,378,539,662
1,8,28,31,48,51,51,92,92,126,156,227,231,278,283,289,328,333,333,404,449
6,8,16,34,62,69,76,86,116,133,158,177,187,191,195,255,306,357,361,429,617
1,1,32,43,45,53,64,71,90,132,139,145,183,195,233,304,344,396,396,430,542
15,16,17,45,67,67,89,97,107,111,125,125,126,129,148,177,218,259,287,796,818
31,33,36,36,37,62,87,89,90,126,136,142,186,225,230,233,251,366,395,399,649
13,20,29,41,47,67,76,82,95,126,133,136,159,203,268,277,301,320,412,472,562
7,12,16,16,27,28,61,61,97,104,156,169,182,188,210,218,231,329,329,464,934
1,7,7,17,28,47,51,55,117,117,128,144,201,221,242,255,280,331,430,481,679
1,14,27,27,28,28,43,79,94,102,105,110,120,121,191,230,415,440,518,533,613
1,4,5,14,22,23,24,32,61,89,91,97,106,115,180,400,427,502,539,539,568
13,14,22,51,62,67,89,99,108,121,146,162,177,186,210,258,307,328,375,478,566
3,3,57,61,64,67,81,97,100,107,137,140,168,176,189,242,247,303,341,611,645
20,33,35,52,71,94,100,101,120,129,143,144,169,175,181,207,228,373,382,540,542
6,16,17,23,30,31,49,79,104,117,137,181,209,214,216,226,243,287,475,578,601
3,9,9,11,22,31,34,41,76,92,107,150,160,296,302,304,338,354,428,440,632
10,14,30,32,33,34,44,77,77,99,104,108,191,302,317,339,361,371,389,416,491
5,15,17,17,39,41,48,55,77,90,90,96,98,102,204,244,325,360,410,622,884
11,30,42,50,73,86,113,117,127,136,137,149,156,180,220,236,321,325,369,380,581
20,22,29,44,63,86,86,90,102,106,111,135,164,170,172,184,244,374,458,461,718
6,7,28,41,46,85,85,107,107,110,142,152,161,175,226,236,274,350,384,446,671
5,8,27,27,43,45,46,46,69,79,91,115,124,137,209,268,322,403,421,510,844
4,18,32,33,48,53,55,58,59,59,65,168,174,197,214,273,329,402,451,524,623
18,31,44,56,59,61,80,92,117,147,154,198,202,207,208,265,305,306,370,400,519
6,32,41,51,76,88,91,95,104,122,125,127,148,190,213,226,239,267,426,533,639
32,40,41,41,49,52,70,75,82,95,96,133,146,154,155,164,201,249,321,440,1203
1,2,22,24,31,38,73,74,88,105,116,118,138,169,169,186,228,278,284,735,960
2,4,18,23,40,42,46,46,53,64,97,104,144,165,211,218,299,507,541,593,622
7,27,42,54,55,69,70,79,83,95,100,105,114,124,208,220,233,266,329,344,1215
4,17,36,65,76,77,86,105,106,116,135,165,189,199,205,231,304,321,409,486,507
13,19,51,104,104,105,109,130,149,154,164,164,176,183,235,264,292,297,306,313,507
2,20,24,56,61,95,98,127,134,151,171,189,201,206,228,228,282,329,344,379,514
4,5,8,46,56,57,63,82,100,114,119,137,144,202,260,267,387,398,431,468,491
14,25,29,29,41,45,59,79,133,150,202,206,209,228,287,306,313,315,356,398,415
4,5,29,30,40,61,70,127,127,157,169,170,172,190,224,238,244,253,413,530,586
9,12,18,29,46,48,64,66,70,97,148,149,171,172,182,234,251,286,455,498,834
9,32,32,39,47,50,84,93,117,130,147,150,209,213,287,292,299,339,352,373,545
19,24,27,29,32,34,35,42,51,68,98,127,132,227,255,259,375,408,455,569,573
11,16,22,53,56,72,89,91,116,124,127,147,181,234,274,303,323,359,362,385,494
8,48,49,50,65,75,79,86,88,94,170,179,200,229,242,260,269,324,376,467,481
2,4,8,9,34,46,53,112,134,157,167,196,221,226,228,233,276,291,293,315,834
8,8,30,42,45,75,81,110,124,145,190,195,195,203,221,222,228,362,387,416,552
3,7,9,9,45,57,108,126,166,166,166,168,168,175,196,219,219,283,312,493,744
7,13,22,23,36,49,53,55,57,78,83,164,182,212,243,294,353,441,458,498,518
2,16,49,50,56,63,70,85,95,110,112,113,130,142,156,214,214,243,280,538,1101
5,66,72,80,85,87,87,96,98,99,112,122,177,183,208,234,246,267,330,521,664
2,5,20,22,44,47,52,67,69,72,88,101,110,121,122,123,155,268,552,597,1202
5,24,34,36,39,41,71,88,99,99,104,189,211,234,239,270,307,310,337,534,568
12,12,13,29,34,46,54,58,67,75,84,123,138,148,178,185,290,299,477,535,982
1,5,21,41,42,54,60,60,65,66,79,107,117,124,189,324,405,442,448,567,622
4,37,49,55,59,73,115,137,141,147,154,205,213,220,222,240,250,260,312,449,497
7,9,23,31,46,56,60,65,81,127,139,186,187,205,227,243,296,336,360,512,643
4,9,9,12,82,101,104,128,153,154,178,194,203,209,217,228,282,316,342,404,510
1,21,29,33,33,39,44,55,60,83,101,125,126,128,307,317,343,395,472,529,598
1,6,12,15,34,69,86,100,143,143,144,147,169,240,268,303,311,328,351,369,600
2,7,7,11,13,24,25,69,114,124,130,152,156,163,197,199,203,473,528,572,670
10,13,26,45,46,70,70,78,85,88,91,123,169,196,274,276,284,329,364,564,638
10,23,23,25,28,34,35,41,59,73,86,105,181,185,186,343,350,450,454,501,647
3,43,57,59,75,79,122,135,136,139,147,179,196,225,248,263,280,314,334,401,404
1,5,39,50,51,58,59,72,76,78,79,156,195,234,240,275,300,331,352,551,637
13,15,31,48,65,70,95,126,127,134,147,149,154,169,171,226,261,326,344,406,762
1,12,12,15,17,55,55,64,67,80,95,102,134,152,241,254,290,320,549,549,775
7,8,16,31,53,81,87,117,117,143,160,161,171,202,230,258,297,326,337,472,565
21,39,46,48,67,67,90,110,116,121,135,136,164,200,207,241,244,256,448,491,592
2,27,30,43,65,75,80,101,107,120,126,146,166,171,181,181,191,357,391,391,888
2,8,10,13,15,42,62,73,101,117,128,131,132,135,201,250,316,358,369,399,977
10,11,23,30,43,45,45,54,56,71,79,96,120,130,144,235,244,313,319,545,1226
11,30,40,41,48,73,86,87,103,105,120,157,157,185,236,261,340,377,419,422,541
5,7,12,12,54,68,73,85,95,111,158,228,228,244,249,267,270,309,414,456,494
18,31,50,52,60,77,91,116,119,151,187,188,196,217,265,288,307,313,346,380,387
6,9,22,37,38,42,45,50,68,115,131,135,170,191,210,266,313,336,388,493,774
3,9,12,31,63,73,83,91,94,107,108,142,151,179,192,255,258,268,330,590,800
5,10,19,28,42,46,53,59,80,100,106,125,165,170,187,189,215,332,388,430,1090
1,12,13,33,41,44,86,87,125,144,165,166,181,194,251,255,290,305,462,478,506
2,2,2,31,38,42,45,47,56,56,73,89,109,150,180,213,223,330,387,711,1053
17,31,33,42,46,78,78,89,101,104,107,136,154,169,194,219,242,338,428,486,747
21,26,32,39,69,75,80,85,110,110,123,183,205,207,223,228,264,344,372,384,659
2,11,20,23,35,74,88,103,114,134,163,181,185,271,276,285,295,337,397,421,424
17,18,51,59,62,73,78,95,97,104,123,127,174,186,191,234,323,338,418,446,625
29,31,34,65,69,74,81,84,149,151,155,167,194,215,221,222,227,337,380,452,502
4,8,13,14,47,50,54,97,105,105,109,126,145,202,224,235,278,368,371,399,885
4,6,8,12,14,26,31,43,79,104,125,143,148,165,200,279,394,409,452,564,633
19,27,43,53,60,63,79,94,99,99,138,144,191,198,246,303,360,365,373,420,465
13,17,22,23,26,48,57,85,96,134,143,215,242,258,258,261,299,354,365,369,554
1,3,10,20,27,38,59,66,106,113,150,150,175,230,232,253,311,375,406,547,567
1,9,22,22,44,67,70,91,120,155,158,165,170,177,202,239,267,389,448,509,514
6,21,21,22,27,36,62,78,78,165,193,195,198,210,219,236,247,254,345,529,697
1,8,10,28,55,68,73,83,89,140,157,169,176,223,262,277,283,285,335,508,609
20,21,32,48,50,50,55,56,144,153,153,154,166,213,214,223,247,321,380,515,624
3,12,18,37,38,39,77,82,88,104,110,123,129,151,197,273,309,347,392,610,700
1,3,3,11,18,56,63,64,67,85,96,122,154,177,254,287,318,388,418,461,793
3,9,10,15,29,52,53,73,82,85,86,120,137,172,187,217,255,323,389,645,897
27,40,58,82,94,102,122,147,148,150,187,190,199,211,216,218,220,242,257,438,491
18,23,38,47,67,71,76,76,84,94,96,101,130,239,253,270,314,373,400,487,582
1,15,19,27,28,30,41,75,83,94,118,136,153,252,268,290,363,382,403,490,571
5,37,50,50,54,61,69,92,97,105,173,174,180,218,232,235,239,266,271,543,688
3,28,29,42,51,54,86,92,152,153,180,190,199,223,234,273,287,304,381,424,454
25,27,33,34,52,111,132,136,143,153,184,189,196,199,203,217,217,218,302,387,681
12,14,28,44,48,49,56,61,97,104,128,131,136,167,193,240,259,284,361,581,846
10,16,25,29,45,54,70,76,86,106,145,193,215,236,254,268,319,331,374,403,584
2,10,30,40,54,58,58,59,63,76,127,155,228,229,230,241,307,312,360,559,641
33,40,50,54,54,60,82,99,115,117,123,127,135,185,211,240,327,332,348,530,577
1,3,4,23,41,45,56,65,72,92,105,115,115,134,201,235,319,342,570,593,708
6,18,18,27,40,41,61,73,102,106,146,153,195,205,209,219,345,374,414,459,628
3,5,7,10,17,23,55,74,81,91,139,152,198,209,209,248,267,291,325,657,778
1,15,17,31,31,82,107,107,114,114,120,146,149,167,189,207,264,266,270,270,1172
5,11,65,67,81,101,112,127,136,147,154,158,174,179,209,212,254,309,328,357,653
18,28,45,51,64,76,80,87,89,102,122,137,181,182,208,216,289,290,365,469,740
32,32,43,50,51,58,73,88,109,149,160,182,187,191,246,279,311,311,354,451,482
10,16,18,20,37,56,59,73,78,89,128,131,165,200,279,342,343,414,435,439,507
3,10,51,52,56,63,81,83,86,105,120,142,157,177,188,192,221,295,324,612,821
11,20,44,52,67,69,75,84,101,160,180,202,214,258,261,265,293,302,327,352,502
3,12,13,23,31,31,37,47,65,113,117,120,168,179,184,197,211,359,378,668,883
3,8,13,28,29,44,67,77,89,111,119,122,134,151,158,194,198,207,355,693,1039
1,10,11,14,56,56,59,63,74,84,99,117,133,186,193,201,251,271,557,558,845
2,2,31,33,39,47,52,57,87,98,121,134,151,175,180,336,341,349,424,475,705
2,9,37,50,50,89,98,106,108,116,136,139,177,199,215,227,248,265,396,475,697
17,18,23,31,59,72,81,85,91,92,93,104,117,142,242,249,321,371,428,527,676
3,16,30,41,41,51,53,56,70,85,118,130,134,186,191,200,210,250,575,671,728
32,38,42,50,55,60,67,71,75,85,99,146,167,218,218,255,256,302,346,406,851
7,8,43,43,50,54,63,63,84,88,102,110,161,162,183,208,337,338,341,367,1027
3,5,10,22,68,82,88,111,111,121,134,149,170,176,177,204,211,277,510,539,671
9,11,11,47,56,56,66,81,88,89,97,103,147,178,182,217,258,305,369,571,898
11,16,17,19,42,54,76,88,103,120,163,169,176,186,231,299,357,369,414,455,474
9,79,81,82,84,86,117,124,141,146,155,161,182,221,240,272,295,307,330,342,385
5,6,8,59,60,61,78,97,108,120,138,158,182,190,202,234,239,299,374,473,748
2,9,84,104,107,107,109,109,119,134,142,143,170,215,229,244,258,345,386,405,418
3,3,9,18,23,33,45,88,106,148,177,203,240,277,278,295,311,319,353,450,460
5,15,20,38,56,68,71,93,94,114,150,164,170,172,195,216,244,302,330,395,927
2,3,20,20,45,47,47,54,61,68,105,109,126,162,165,209,381,406,412,533,864
10,10,23,73,73,85,98,104,124,138,145,146,167,191,217,254,267,279,290,472,673
8,24,24,24,24,45,78,116,118,118,120,130,130,164,244,265,288,373,429,538,579
8,13,16,31,38,55,106,114,115,121,150,150,169,245,265,274,287,300,311,534,537
7,17,42,54,60,76,93,95,97,99,155,166,231,252,258,263,285,360,362,415,452
5,5,10,19,20,40,53,68,84,92,96,137,145,257,305,308,335,337,394,400,729
8,20,23,26,41,41,67,94,107,146,163,187,224,248,261,276,294,304,384,451,474
16,39,43,66,69,69,93,108,117,131,143,148,148,154,187,232,291,313,415,519,538
15,16,44,49,65,92,99,107,112,116,129,131,152,158,174,262,271,299,317,331,900
5,5,12,14,14,36,56,68,73,84,86,147,180,198,221,272,292,300,411,572,793
13,15,17,22,53,65,80,97,130,135,140,145,146,153,168,190,255,323,338,350,1004
2,13,13,37,57,64,72,90,106,119,120,134,134,146,214,228,242,312,435,505,796
29,31,33,37,38,90,96,105,121,152,189,189,213,239,277,292,300,300,325,349,434
3,8,10,41,51,59,83,95,114,114,133,144,147,232,235,272,329,340,371,436,622
11,18,35,37,44,68,81,84,87,98,100,124,140,164,203,285,311,395,425,551,578
9,11,40,43,44,53,53,62,63,79,81,90,90,164,208,221,377,425,428,483,815
5,23,34,34,38,68,79,81,103,124,126,134,172,244,259,295,317,355,390,414,544
27,32,37,37,38,40,48,49,64,108,143,149,150,164,263,274,318,407,435,525,531
6,9,13,17,17,18,56,59,72,77,176,177,195,231,274,306,339,379,395,476,547
3,3,23,38,38,50,51,70,82,94,127,189,190,192,222,231,261,270,409,627,669
32,44,59,61,64,64,76,81,93,121,179,180,197,237,261,298,323,349,360,368,392
8,19,29,36,55,63,67,68,76,116,178,183,187,196,206,218,247,263,505,553,566
8,19,20,30,49,61,63,92,97,108,118,136,138,143,160,227,227,461,486,560,636
19,21,24,40,46,66,66,74,85,87,102,159,213,255,259,269,360,366,403,427,498
14,17,20,33,33,33,34,36,57,72,78,131,164,178,181,263,337,501,525,555,577
5,14,14,54,80,110,113,120,129,135,146,168,169,216,241,244,279,313,389,443,457
14,18,25,29,43,54,80,85,106,123,141,160,184,186,221,294,369,379,419,427,482
3,19,21,25,33,55,72,74,74,95,108,118,145,181,190,268,282,289,377,417,993
5,10,11,27,36,37,43,116,122,150,178,186,196,227,267,311,313,319,339,365,581
4,5,5,22,34,51,75,98,115,134,142,142,186,187,190,205,264,376,485,530,589
3,11,33,62,69,78,104,104,105,107,108,122,125,214,227,241,273,332,341,489,691
4,28,32,35,76,84,93,95,119,138,153,162,180,213,218,249,267,293,416,428,556
1,4,11,16,19,19,39,39,65,68,110,124,174,182,198,250,303,418,488,552,759
16,27,35,46,55,57,68,103,125,130,135,141,202,236,265,273,279,315,333,445,553
7,15,39,47,70,81,83,113,158,160,190,203,205,211,219,238,264,283,329,428,496
3,3,3,12,40,53,80,94,141,154,167,182,198,214,217,217,269,295,397,533,567
3,4,14,25,29,29,43,48,67,99,99,105,154,192,244,259,264,276,293,330,1262
18,18,20,24,24,32,41,44,68,90,97,143,152,162,176,269,317,420,450,466,808
19,29,46,69,74,88,102,107,151,160,178,198,202,203,214,219,242,245,252,380,661
7,13,21,28,32,33,52,76,91,141,149,203,203,205,223,254,362,366,433,452,495
15,23,42,47,54,62,76,85,91,102,111,127,155,175,182,208,221,255,288,421,1099
24,35,35,40,43,53,64,65,73,81,95,125,125,210,211,212,267,303,434,561,783
13,25,57,61,62,66,67,67,84,94,118,137,167,236,272,281,321,333,337,424,617
3,6,8,12,22,36,39,111,135,168,197,199,230,263,283,292,307,353,366,373,436
9,17,27,41,41,45,65,112,139,154,176,188,191,192,194,228,311,341,354,437,577
13,33,42,44,53,60,60,75,86,103,103,106,107,159,177,187,256,279,280,288,1328
2,4,4,7,12,16,87,94,101,102,112,112,112,165,178,218,255,300,330,379,1249
1,1,19,33,58,69,99,100,103,103,113,135,178,185,199,215,227,237,414,598,752
15,19,22,27,39,62,66,82,86,91,114,121,157,203,287,289,338,357,384,506,574
1,16,18,20,28,29,30,38,59,62,80,163,183,189,201,227,245,303,335,385,1227
22,28,31,59,65,100,104,105,105,121,123,138,218,222,224,244,256,275,312,423,664
1,11,24,28,36,47,50,55,75,83,86,86,135,135,193,222,289,323,443,507,1010
10,19,42,54,61,68,70,92,102,108,115,132,145,163,163,185,197,233,285,472,1123
18,25,33,34,55,65,72,72,75,87,112,117,118,201,215,306,319,373,375,543,624
9,14,22,39,69,76,108,116,123,138,138,146,166,167,208,241,285,309,366,546,553
17,49,56,61,62,62,64,95,123,140,155,179,189,205,220,237,259,284,293,475,614
11,11,12,12,15,40,47,59,75,84,95,99,166,287,333,342,364,375,384,483,545
1,18,24,48,58,80,86,93,99,103,103,109,118,150,182,322,324,346,393,583,599
1,1,4,14,33,34,37,66,71,78,87,133,147,147,206,267,359,429,508,522,695
53,62,87,105,117,139,146,151,152,155,159,162,169,173,175,185,237,252,265,339,556
34,43,62,62,63,73,73,90,95,129,131,131,137,174,185,186,258,263,361,491,798
5,37,39,47,48,78,86,86,86,96,96,113,179,185,206,248,300,341,470,492,601
26,58,60,77,77,77,78,86,97,105,110,130,138,178,211,232,260,266,400,478,695
5,5,16,19,21,68,82,95,112,122,122,138,138,185,220,221,240,380,535,539,576
1,7,20,38,43,65,85,87,92,106,118,120,157,180,220,259,271,284,381,551,754
2,15,24,29,33,33,52,73,74,81,84,89,93,110,146,156,207,239,325,428,1546
5,14,38,40,43,46,46,74,78,121,122,126,142,165,202,226,240,241,265,559,1046
14,14,34,51,61,82,89,89,105,117,150,180,186,218,255,275,305,325,342,468,479
2,5,7,15,24,27,40,57,81,91,103,106,121,161,218,233,316,367,545,548,772
7,20,20,26,28,35,41,90,95,113,131,144,196,216,230,238,313,336,405,556,599
42,49,55,72,84,97,102,117,139,147,159,162,191,214,223,236,270,289,369,387,435
35,36,45,55,56,82,98,105,123,124,141,200,204,211,224,225,282,307,394,398,494
2,15,20,30,37,37,57,69,94,96,128,141,144,276,309,332,365,399,409,433,446
8,16,26,47,48,76,81,81,101,125,127,141,179,205,214,232,238,360,400,513,621
5,20,20,48,56,62,67,75,79,97,102,132,137,138,141,146,301,368,438,550,857
8,11,14,18,25,29,60,82,84,95,105,105,142,165,220,313,397,447,471,487,561
12,16,27,34,44,56,59,65,68,96,104,144,178,180,217,284,288,299,352,391,925
10,13,35,66,74,77,94,109,109,110,127,150,166,185,185,200,206,249,455,548,671
8,17,23,44,49,57,75,76,87,88,89,102,104,175,205,242,248,287,299,400,1164
2,3,19,19,33,52,75,112,131,134,160,169,172,179,183,232,288,400,411,523,542
1,22,24,46,59,75,92,95,97,113,140,153,168,187,206,310,341,379,389,441,501
6,34,61,61,84,89,93,101,108,123,138,143,159,165,243,246,246,339,432,468,500
1,10,10,13,14,16,23,41,49,52,97,144,145,166,232,322,439,469,471,480,645
12,35,37,42,60,85,96,97,118,122,136,154,181,189,200,211,263,386,402,471,542
42,50,59,74,74,81,103,104,112,129,132,139,178,227,240,272,277,291,308,321,626
5,16,27,50,52,60,84,86,86,128,139,172,182,191,219,230,260,353,409,544,546
2,2,6,10,13,30,45,98,109,113,140,161,197,211,211,217,309,346,370,555,694
4,7,14,47,48,53,79,89,89,122,124,133,189,197,254,267,278,283,286,492,784
14,15,26,30,34,37,39,41,47,53,65,71,98,107,211,256,293,346,374,451,1231
13,13,26,29,30,80,84,96,99,135,149,162,175,177,256,311,348,373,422,428,433
10,12,14,25,36,64,68,76,81,114,125,135,145,175,196,231,253,364,369,471,875
8,29,47,53,60,61,67,118,133,142,156,200,234,241,253,274,275,280,332,365,511
7,14,25,40,65,88,115,125,153,156,191,196,199,199,205,208,249,291,325,369,619
2,12,26,30,76,80,94,102,103,104,106,144,144,197,216,223,320,419,458,470,513
11,18,31,48,75,87,95,103,132,150,160,195,207,207,212,273,310,329,345,424,427
3,20,20,29,35,73,81,87,91,91,94,135,135,142,173,265,319,333,422,525,766
3,65,73,86,86,90,90,90,94,131,132,162,189,191,217,274,295,337,399,412,423
32,35,35,37,51,92,107,108,112,120,131,138,142,180,213,218,291,297,333,571,596
12,14,20,34,44,49,56,66,98,118,130,130,147,158,160,199,393,408,414,421,768
1,2,20,24,29,40,50,83,133,173,193,194,221,241,265,300,304,312,320,343,591
9,16,23,38,45,63,69,91,104,123,133,136,193,193,211,225,245,247,473,583,619
28,38,40,50,63,63,65,72,122,122,147,150,176,219,223,259,291,291,305,488,627
4,13,17,19,23,26,30,39,94,136,176,193,202,205,223,256,266,269,393,412,843
4,11,12,53,63,64,68,101,129,150,155,157,174,180,212,268,287,340,441,455,515
5,23,34,39,47,56,68,74,75,99,110,135,138,171,204,249,271,306,542,546,647
11,16,35,53,58,65,69,81,99,112,123,170,187,213,233,234,279,294,393,501,613
3,11,13,14,39,55,97,101,123,125,141,197,204,212,232,291,295,312,433,440,501
2,22,22,38,41,45,48,67,97,107,149,186,190,206,236,262,263,263,342,564,689
12,13,20,36,42,55,61,67,97,97,107,114,159,202,222,257,298,299,382,411,888
3,13,22,26,40,93,102,104,109,129,137,147,166,166,172,174,219,223,250,498,1046
3,9,13,13,19,21,32,34,65,88,113,139,168,201,211,211,282,346,531,545,795
1,29,35,57,59,74,130,142,142,157,161,189,198,219,231,260,289,329,363,373,401
9,33,33,51,85,88,88,122,148,173,176,195,204,219,232,245,249,262,287,316,624
11,31,47,55,63,64,75,77,84,112,121,137,162,186,197,246,262,365,370,376,798
5,14,14,25,43,73,76,80,85,87,111,169,202,213,227,233,244,300,427,484,727
22,25,27,46,49,50,55,61,76,115,172,199,201,202,214,230,242,358,387,444,664
7,12,16,19,27,54,57,74,86,93,101,177,200,210,226,236,271,333,360,458,822
3,25,26,41,48,51,56,58,94,97,105,115,141,165,249,286,343,409,440,454,633
5,16,16,40,52,67,79,86,110,148,148,163,172,184,195,213,217,232,502,528,666
12,18,26,39,44,63,91,125,133,140,192,194,198,255,262,278,291,315,331,353,479
20,20,25,37,38,45,90,129,133,145,158,172,214,226,232,252,284,293,304,497,525
11,17,22,57,65,74,114,123,125,125,160,175,175,206,227,239,278,341,365,466,474
21,29,42,48,50,60,86,96,107,107,146,151,166,183,191,238,309,339,424,469,577
7,15,29,39,67,91,103,118,119,159,190,194,195,206,214,215,219,333,385,406,535
8,14,32,46,61,65,90,97,104,104,120,124,136,146,177,214,214,245,270,424,1148
3,6,8,9,12,30,44,44,46,77,84,106,111,184,229,267,282,411,602,627,657
3,42,42,50,64,94,100,100,114,114,118,137,137,139,148,214,217,293,326,452,935
2,35,63,68,70,90,93,107,110,119,152,156,171,185,188,224,227,257,260,408,854
4,16,18,21,40,67,67,71,74,79,98,100,117,152,176,204,208,231,338,822,936
5,14,17,19,22,38,39,59,62,100,132,160,168,183,207,243,297,336,547,557,634
2,23,23,25,25,32,33,63,77,77,77,85,98,179,264,310,351,401,438,457,799
4,10,19,28,65,72,80,89,114,115,119,162,162,177,185,196,221,231,271,729,790
2,3,6,19,41,47,74,89,108,122,153,170,179,183,193,224,248,333,403,515,727
12,19,39,57,77,85,86,87,89,91,105,110,114,142,189,218,273,290,368,420,968
19,39,41,43,54,54,76,77,86,138,140,152,164,168,184,323,338,383,392,441,527
6,6,9,23,25,33,35,47,51,55,82,103,135,168,322,329,381,445,450,544,590
1,6,19,31,32,32,41,42,48,108,131,154,173,205,242,273,295,305,309,474,918
6,20,23,38,70,72,125,125,181,181,182,198,217,217,218,258,263,329,347,349,420
18,39,47,53,62,62,67,103,106,123,126,144,164,165,170,172,177,230,323,437,1051
5,7,8,25,34,64,70,105,115,122,124,124,193,201,205,218,219,233,372,601,794
11,33,34,41,41,53,64,74,97,144,150,156,157,166,191,227,229,352,477,513,629
8,17,25,25,27,34,50,53,53,53,93,121,129,133,199,326,360,385,483,589,676
4,24,25,39,48,48,53,103,105,107,127,156,210,220,220,228,262,350,351,351,808
9,17,46,50,51,57,72,83,89,114,118,176,207,213,238,266,347,352,401,461,472
3,4,12,12,15,28,43,45,47,108,122,145,147,178,257,282,286,344,497,521,743
2,11,24,52,85,88,92,103,103,112,119,120,171,183,202,212,234,329,354,403,840
4,6,29,42,47,50,50,73,89,91,137,176,177,182,209,210,228,314,333,337,1055
25,41,43,65,78,93,107,127,140,160,176,178,197,210,217,249,250,302,304,406,471
5,6,6,7,38,54,58,60,78,112,123,160,210,213,216,254,357,399,422,473,588
18,22,48,62,73,83,84,98,101,123,186,186,233,251,275,282,284,307,316,397,410
11,13,13,13,15,25,44,67,81,98,107,109,121,175,314,338,348,421,462,500,564
